ingredient_name,ingredient_id
water (aqua),1
dipropylene glycol,2
peg-6 caprylic/capric glycerides,3
glycerin,4
2-hexanediol,5
polyglyceryl-4 caprate,6
butylene glycol,7
carbomer,8
propanediol,9
tromethamine,10
peg-60 hydrogenated castor oil,11
ethylhexylglycerin,12
citrus aurantium bergamia (bergamot) fruit oil,13
tricholoma matsutake extract,14
trisodium ethylenediamine disuccinate,15
hydrolyzed cicer seed extract,16
rhododendron chrysanthum leaf extract,17
hyaluronic acid,18
hydrolyzed hyaluronic acid,19
sodium hyaluronate,20
tocopherol *limonene,21
*linalool,22
diisostearyl malate,23
hydrogenated polyisobutene,24
phyto- steryl/isostearyl/cetyl/stearyl/behenyl dimer dilinoleate,25
hydrogenated poly(c6-14 olefin),26
polybutene,27
microcrystalline wax / cera microcristallina / cire microcri stalline,28
butyrospermum parkii (shea) butter,29
synthetic wax,30
ethylene/propylene/styrene copolymer,31
sucrose tetrastearate triacetate,32
mica,33
euphorbia cerifera (candelilla) wax / candelilla cera hydrocarbons / cire de candelilla,34
candelilla wax esters,35
astrocaryum murumuru seed butter,36
titanium dioxide (ci 77891),37
fragrance / parfum,38
glyceryl caprylate,39
polyglyceryl-2 diisostearate,40
butylene/ethylene/styrene copolymer,41
copernicia cerifera (carnauba) wax / copernicia cerifera cera / cire de carnauba,42
methicone,43
polyglyceryl-2 triisostearate,44
cocos nucifera (coconut) oil,45
yellow 6 lake (ci 15985),46
pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,47
red 6 (ci 15850),48
ascorbic acid,49
water / aqua / eau,50
bht,51
punica granatum fruit juice,52
rubus idaeus (raspberry) juice,53
vitis vinifera (grape) juice,54
aqua (water),55
coco-glucoside,56
xanthan gum,57
polyglyceryl-10 laurate,58
centaurea cyanus flower water,59
cucumis sativus (cucumber) fruit extract,60
helianthus annuus (sunflower) seed oil,61
borago officinalis seed oil,62
hydrolyzed soy protein,63
rosa damascena extract,64
rosa damascena flower water,65
aloe barbadensis leaf juice,66
panax ginseng root extract,67
malva sylvestris (mallow) flower extract,68
rosa damascena flower oil,69
tocopherol,70
caprylic/capric triglyceride,71
caprylyl glycol,72
hydrolyzed jojoba esters,73
