product_id,skin_type
P504322,dry
P420652,dry
P420652,combination
P420652,normal
P420652,oily
P7880,combination
P7880,dry
P7880,oily
P7880,normal
P218700,dry
P218700,combination
P218700,normal
P218700,oily
P248407,combination
P248407,dry
P248407,oily
P248407,normal
P269122,dry
P269122,combination
P269122,normal
P269122,oily
P394639,oily
P394639,dry
P394639,combination
P394639,normal
P417238,combination
P417238,oily
P417238,normal
P417238,dry
P450271,combination
P450271,oily
P450271,normal
P450271,dry
P427421,combination
P427421,normal
P427421,oily
P427421,dry
P411387,combination
P411387,oily
P411387,normal
P411387,dry
P441644,combination
P441644,oily
P441644,normal
P441644,dry
P427417,oily
P427417,combination
P427417,normal
P427417,dry
P309308,combination
P309308,dry
P309308,normal
P309308,oily
P411540,dry
P411540,combination
P411540,oily
P411540,normal
P42204,dry
P42204,normal
P42204,combination
P42204,oily
P471546,dry
P471546,combination
P471546,oily
P471546,normal
P248404,combination
P248404,dry
P248404,normal
P248404,oily
P443352,combination
P443352,dry
P443352,normal
P443352,oily
P423688,combination
P423688,dry
P423688,normal
P423688,oily
P421275,oily
P421275,normal
P421275,dry
P421275,combination
P297524,normal
P297524,combination
P297524,dry
P297524,oily
P394624,combination
P394624,dry
P394624,oily
P394624,normal
P429952,combination
P429952,normal
P429952,dry
P429952,oily
P480630,combination
P480630,normal
P480630,dry
P480630,oily
P126301,combination
P126301,dry
P126301,normal
P126301,oily
P453816,combination
P453816,dry
P453816,normal
P453816,oily
P456412,combination
P456412,normal
P456412,dry
P456412,oily
P418218,combination
P418218,oily
P418218,dry
P418218,normal
P454794,combination
P454794,oily
P454794,dry
P454794,normal
P122900,oily
P122900,combination
P122900,dry
P122900,normal
P409800,combination
P409800,dry
P409800,normal
P409800,oily
P427419,oily
P427419,normal
P427419,dry
P427419,combination
P460779,dry
P460779,oily
P460779,combination
P460779,normal
P443563,combination
P443563,dry
P443563,normal
P443563,oily
P12573,combination
P12573,oily
P12573,dry
P12573,normal
P270594,combination
P270594,normal
P270594,oily
P270594,dry
P392246,combination
P392246,normal
P392246,dry
P392246,oily
P433520,combination
P433520,dry
P433520,normal
P433520,oily
P481817,dry
P481817,oily
P481817,normal
P481817,combination
P458219,dry
P458219,oily
P458219,normal
P458219,combination
P467762,dry
P467762,oily
P467762,normal
P467762,combination
P297516,combination
P297516,dry
P297516,normal
P297516,oily
P454380,oily
P454380,combination
P454380,dry
P454380,normal
P470255,oily
P470255,combination
P470255,dry
P470255,normal
P442563,normal
P442563,combination
P442563,oily
P442563,dry
P480612,oily
P480612,combination
P480612,dry
P480612,normal
P232903,combination
P232903,oily
P232903,normal
P232903,dry
P441101,combination
P441101,normal
P441101,dry
P441101,oily
P456207,combination
P456207,dry
P456207,normal
P456207,oily
P232915,combination
P232915,oily
P232915,dry
P232915,normal
P455364,oily
P455364,combination
P455364,normal
P455364,dry
P478030,oily
P478030,combination
P478030,normal
P478030,dry
P422905,normal
P422905,combination
P422905,oily
P422905,dry
P430337,combination
P430337,normal
P430337,dry
P430337,oily
P302103,combination
P302103,oily
P302103,dry
P302103,normal
P439061,dry
P439061,combination
P439061,oily
P439061,normal
P375849,dry
P375849,normal
P375849,combination
P375849,oily
P426183,dry
P426183,normal
P426183,combination
P426183,oily
P456398,dry
P456398,combination
P456398,oily
P456398,normal
P94421,combination
P94421,normal
P94421,dry
P94421,oily
P427406,dry
P427406,combination
P427406,normal
P427406,oily
P431180,combination
P431180,oily
P431180,normal
P431180,dry
P173726,combination
P173726,oily
P173726,normal
P173726,dry
P479839,dry
P479839,combination
P479839,normal
P479839,oily
P481084,dry
P481084,combination
P481084,normal
P481084,oily
P426836,combination
P426836,normal
P426836,oily
P426836,dry
P421235,combination
P421235,dry
P421235,normal
P421235,oily
P4016,combination
P4016,oily
P4016,dry
P4016,normal
P278317,combination
P278317,normal
P278317,dry
P278317,oily
P406712,dry
P406712,combination
P406712,normal
P406712,oily
P415777,combination
P415777,dry
P415777,normal
P415777,oily
P421996,dry
P421996,normal
P421996,combination
P421996,oily
P422510,dry
P422510,normal
P422510,combination
P422510,oily
P411403,oily
P411403,combination
P411403,dry
P411403,normal
P415771,combination
P415771,oily
P415771,normal
P415771,dry
P473160,combination
P473160,oily
P473160,normal
P473160,dry
P442840,dry
P442840,combination
P442840,normal
P442840,oily
P461537,normal
P461537,combination
P461537,dry
P461537,oily
P479860,dry
P479860,combination
P479860,normal
P479860,oily
P440651,combination
P440651,dry
P440651,oily
P440651,normal
P504595,normal
P504595,combination
P504595,dry
P504595,oily
P393718,combination
P393718,oily
P393718,dry
P393718,normal
P42205,normal
P42205,combination
P42205,dry
P42205,oily
P376726,combination
P376726,dry
P376726,oily
P376726,normal
P12336,combination
P12336,normal
P12336,dry
P12336,oily
P461159,combination
P461159,dry
P461159,normal
P461159,oily
P461160,combination
P461160,dry
P461160,normal
P461160,oily
P461933,combination
P461933,dry
P461933,normal
P461933,oily
P266126,combination
P266126,dry
P266126,normal
P266126,oily
P427536,normal
P427536,dry
P427536,combination
P427536,oily
P504615,normal
P504615,dry
P504615,combination
P504615,oily
P440307,oily
P440307,combination
P440307,dry
P440307,normal
P461555,oily
P461555,combination
P461555,dry
P461555,normal
P422536,combination
P422536,oily
P422536,dry
P422536,normal
P410400,dry
P410400,combination
P410400,oily
P410400,normal
P455676,combination
P455676,dry
P455676,normal
P455676,oily
P458216,combination
P458216,dry
P458216,normal
P458216,oily
P139000,combination
P139000,dry
P139000,normal
P139000,oily
P421243,combination
P421243,dry
P421243,oily
P421243,normal
P466123,dry
P466123,combination
P466123,normal
P466123,oily
P456213,dry
P456213,oily
P456213,normal
P456213,combination
P459299,dry
P459299,oily
P459299,normal
P459299,combination
P381030,combination
P381030,dry
P381030,normal
P381030,oily
P427416,dry
P427416,oily
P427416,combination
P427416,normal
P433887,dry
P433887,normal
P433887,combination
P433887,oily
P432829,combination
P432829,dry
P432829,normal
P432829,oily
P463371,combination
P463371,dry
P463371,normal
P463371,oily
P427414,normal
P427414,combination
P427414,oily
P427414,dry
P456218,combination
P456218,dry
P456218,normal
P456218,oily
P399623,combination
P399623,normal
P399623,dry
